TS: 23:48:31 | ID: HOUR   | VAL: 23.50
TS: 23:48:36 | ID: HOUR   | VAL: 22.55
TS: 23:48:42 | ID: HOUR   | VAL: 22.61
TS: 23:48:48 | ID: HOUR   | VAL: 22.46
TS: 23:48:54 | ID: HOUR   | VAL: 22.55
TS: 23:48:59 | ID: HOUR   | VAL: 22.61
TS: 23:49:05 | ID: HOUR   | VAL: 22.66
TS: 23:49:11 | ID: HOUR   | VAL: 22.15
TS: 23:49:17 | ID: HOUR   | VAL: 21.72
TS: 23:49:22 | ID: HOUR   | VAL: 22.09
TS: 23:49:28 | ID: HOUR   | VAL: 22.47
TS: 23:49:33 | ID: HOUR   | VAL: 22.37
TS: 23:49:39 | ID: HOUR   | VAL: 22.63
TS: 23:49:45 | ID: HOUR   | VAL: 22.84
TS: 23:49:51 | ID: HOUR   | VAL: 22.75
TS: 23:49:56 | ID: HOUR   | VAL: 23.26
TS: 23:50:02 | ID: HOUR   | VAL: 22.93
TS: 23:50:08 | ID: HOUR   | VAL: 22.99
TS: 23:50:14 | ID: HOUR   | VAL: 23.26
TS: 23:50:20 | ID: HOUR   | VAL: 23.07
TS: 23:50:25 | ID: HOUR   | VAL: 22.93
TS: 23:50:31 | ID: HOUR   | VAL: 22.82
TS: 23:50:37 | ID: HOUR   | VAL: 22.84
TS: 23:50:43 | ID: HOUR   | VAL: 22.70
TS: 23:50:49 | ID: HOUR   | VAL: 22.55
TS: 23:50:55 | ID: HOUR   | VAL: 22.42
TS: 23:51:00 | ID: HOUR   | VAL: 22.93
TS: 23:51:06 | ID: HOUR   | VAL: 22.95
TS: 23:51:12 | ID: HOUR   | VAL: 22.91
TS: 23:51:17 | ID: HOUR   | VAL: 22.57
TS: 23:51:23 | ID: HOUR   | VAL: 22.51
TS: 23:51:29 | ID: HOUR   | VAL: 22.53
TS: 23:51:35 | ID: HOUR   | VAL: 22.87
TS: 23:51:40 | ID: HOUR   | VAL: 22.87
TS: 23:51:46 | ID: HOUR   | VAL: 23.11
TS: 23:51:52 | ID: HOUR   | VAL: 23.01
TS: 23:51:57 | ID: HOUR   | VAL: 22.74
TS: 23:52:03 | ID: HOUR   | VAL: 22.70
TS: 23:52:09 | ID: HOUR   | VAL: 22.64
TS: 23:52:14 | ID: HOUR   | VAL: 22.38
TS: 23:52:20 | ID: HOUR   | VAL: 22.39
TS: 23:52:26 | ID: HOUR   | VAL: 22.01
TS: 23:52:31 | ID: HOUR   | VAL: 22.46
