TS: 23:48:33 | ID: DAY    | VAL: 23.50
TS: 23:48:43 | ID: DAY    | VAL: 22.89
TS: 23:48:54 | ID: DAY    | VAL: 22.73
TS: 23:49:04 | ID: DAY    | VAL: 22.71
TS: 23:49:14 | ID: DAY    | VAL: 22.64
TS: 23:49:24 | ID: DAY    | VAL: 22.49
TS: 23:49:35 | ID: DAY    | VAL: 22.48
TS: 23:49:45 | ID: DAY    | VAL: 22.51
TS: 23:49:55 | ID: DAY    | VAL: 22.53
TS: 23:50:06 | ID: DAY    | VAL: 22.60
TS: 23:50:16 | ID: DAY    | VAL: 22.65
TS: 23:50:27 | ID: DAY    | VAL: 22.69
TS: 23:50:37 | ID: DAY    | VAL: 22.70
TS: 23:50:48 | ID: DAY    | VAL: 22.70
TS: 23:50:58 | ID: DAY    | VAL: 22.68
TS: 23:51:08 | ID: DAY    | VAL: 22.70
TS: 23:51:19 | ID: DAY    | VAL: 22.70
TS: 23:51:29 | ID: DAY    | VAL: 22.69
TS: 23:51:39 | ID: DAY    | VAL: 22.70
TS: 23:51:49 | ID: DAY    | VAL: 22.71
TS: 23:52:00 | ID: DAY    | VAL: 22.72
TS: 23:52:10 | ID: DAY    | VAL: 22.72
TS: 23:52:20 | ID: DAY    | VAL: 22.70
TS: 23:52:30 | ID: DAY    | VAL: 22.69
