TS: 23:52:14 | ID: RAW    | VAL: 24.70
TS: 23:52:15 | ID: RAW    | VAL: 23.90
TS: 23:52:16 | ID: RAW    | VAL: 21.00
TS: 23:52:17 | ID: RAW    | VAL: 23.60
TS: 23:52:18 | ID: RAW    | VAL: 23.30
TS: 23:52:19 | ID: RAW    | VAL: 20.90
TS: 23:52:20 | ID: RAW    | VAL: 21.50
TS: 23:52:21 | ID: RAW    | VAL: 22.90
TS: 23:52:22 | ID: RAW    | VAL: 20.70
TS: 23:52:23 | ID: RAW    | VAL: 20.30
TS: 23:52:24 | ID: RAW    | VAL: 20.00
TS: 23:52:25 | ID: RAW    | VAL: 25.00
TS: 23:52:26 | ID: RAW    | VAL: 21.30
TS: 23:52:27 | ID: RAW    | VAL: 21.80
TS: 23:52:28 | ID: RAW    | VAL: 23.50
TS: 23:52:29 | ID: RAW    | VAL: 24.00
TS: 23:52:30 | ID: RAW    | VAL: 24.90
TS: 23:52:31 | ID: RAW    | VAL: 24.60
TS: 23:52:32 | ID: RAW    | VAL: 20.10
TS: 23:52:33 | ID: RAW    | VAL: 24.10
